Location,Indicator,Period,First Tooltip
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),2008,12.5
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),2007,13.4
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),2006,14
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),2005,12.4
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),2004,11.4
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),2003,13
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),2002,10.8
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),2001,9.6
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),2000,9.7
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),1999,8.6
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),1998,10.5
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),1997,9.3
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),1996,9.7
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),1995,7.1
Republic of Korea,Alcohol-related road traffic crashes (% of all traffic crashes),1994,6.7
Romania,Alcohol-related road traffic crashes (% of all traffic crashes),2009,3.9
Romania,Alcohol-related road traffic crashes (% of all traffic crashes),2008,7.5
Romania,Alcohol-related road traffic crashes (% of all traffic crashes),1993,4
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2015,8.3
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2014,8.3
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2013,6.7
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2012,6.3
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2011,6.2
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2010,5.9
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2009,6
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2008,8.3
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2007,12.6
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2006,No data
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2005,8.8
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2004,14.9
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2003,No data
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2002,No data
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2001,No data
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),2000,13.5
Russian Federation,Alcohol-related road traffic crashes (% of all traffic crashes),1995,18.3
Singapore,Alcohol-related road traffic crashes (% of all traffic crashes),2015,0.9
Singapore,Alcohol-related road traffic crashes (% of all traffic crashes),2014,1.5
Singapore,Alcohol-related road traffic crashes (% of all traffic crashes),2013,1.9
Singapore,Alcohol-related road traffic crashes (% of all traffic crashes),2012,1.6
Singapore,Alcohol-related road traffic crashes (% of all traffic crashes),2011,1.5
Singapore,Alcohol-related road traffic crashes (% of all traffic crashes),2010,1.1
Singapore,Alcohol-related road traffic crashes (% of all traffic crashes),2009,1.3
Singapore,Alcohol-related road traffic crashes (% of all traffic crashes),2008,2.1
Singapore,Alcohol-related road traffic crashes (% of all traffic crashes),2007,2.3
Singapore,Alcohol-related road traffic crashes (% of all traffic crashes),2006,3.8
Singapore,Alcohol-related road traffic crashes (% of all traffic crashes),2005,3.2
Singapore,Alcohol-related road traffic crashes (% of all traffic crashes),2004,3.5
Slovakia,Alcohol-related road traffic crashes (% of all traffic crashes),2014,11.5
Slovakia,Alcohol-related road traffic crashes (% of all traffic crashes),2013,11.7
Slovakia,Alcohol-related road traffic crashes (% of all traffic crashes),2012,11.7
Slovakia,Alcohol-related road traffic crashes (% of all traffic crashes),2011,12
Slovakia,Alcohol-related road traffic crashes (% of all traffic crashes),2010,9.4
Slovakia,Alcohol-related road traffic crashes (% of all traffic crashes),2009,9.2
Slovakia,Alcohol-related road traffic crashes (% of all traffic crashes),2008,5
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2014,0.3
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2013,0.3
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2012,0.3
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2011,0.3
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2010,0.4
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2009,0.4
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2008,0.4
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2007,0.4
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2006,No data
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2005,No data
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2004,No data
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2003,No data
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2002,No data
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2001,No data
Slovenia,Alcohol-related road traffic crashes (% of all traffic crashes),2000,No data
Sweden,Alcohol-related road traffic crashes (% of all traffic crashes),2012,19
Sweden,Alcohol-related road traffic crashes (% of all traffic crashes),2004,5.9
Sweden,Alcohol-related road traffic crashes (% of all traffic crashes),1996,3.3
Sweden,Alcohol-related road traffic crashes (% of all traffic crashes),1995,3.4
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2014,6.3
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2013,9.7
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2012,10.3
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2011,10.1
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2010,9.9
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2009,9.8
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2008,10.3
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2007,10
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2006,10.6
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2005,9.5
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2004,10
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2003,10.2
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2002,10.6
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2001,10.3
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),2000,9.1
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),1999,8.5
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),1998,8.2
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),1997,7.7
Switzerland,Alcohol-related road traffic crashes (% of all traffic crashes),1996,7.3
Thailand,Alcohol-related road traffic crashes (% of all traffic crashes),2012,7.1
The former Yugoslav Republic of Macedonia,Alcohol-related road traffic crashes (% of all traffic crashes),2013,5.3
The former Yugoslav Republic of Macedonia,Alcohol-related road traffic crashes (% of all traffic crashes),2012,5.4
The former Yugoslav Republic of Macedonia,Alcohol-related road traffic crashes (% of all traffic crashes),2011,4.8
The former Yugoslav Republic of Macedonia,Alcohol-related road traffic crashes (% of all traffic crashes),2010,4.6
The former Yugoslav Republic of Macedonia,Alcohol-related road traffic crashes (% of all traffic crashes),2009,5
The former Yugoslav Republic of Macedonia,Alcohol-related road traffic crashes (% of all traffic crashes),2008,5.2
The former Yugoslav Republic of Macedonia,Alcohol-related road traffic crashes (% of all traffic crashes),2007,5.6
The former Yugoslav Republic of Macedonia,Alcohol-related road traffic crashes (% of all traffic crashes),2006,6.7
The former Yugoslav Republic of Macedonia,Alcohol-related road traffic crashes (% of all traffic crashes),2005,9.2
Ukraine,Alcohol-related road traffic crashes (% of all traffic crashes),2013,4.5
Ukraine,Alcohol-related road traffic crashes (% of all traffic crashes),2012,4
Ukraine,Alcohol-related road traffic crashes (% of all traffic crashes),2011,3.9
Ukraine,Alcohol-related road traffic crashes (% of all traffic crashes),2010,2.5
Ukraine,Alcohol-related road traffic crashes (% of all traffic crashes),2009,2.5
Ukraine,Alcohol-related road traffic crashes (% of all traffic crashes),2008,1.5
Ukraine,Alcohol-related road traffic crashes (% of all traffic crashes),2007,2.3
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),2012,4.6
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),2011,4.5
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),2010,4.3
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),2009,5
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),2008,5.1
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),2007,5.2
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),2006,5
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),2005,5.1
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),2004,5.5
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),2003,5.8
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),2002,6
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),2001,5.4
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),2000,5.1
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),1999,4.8
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),1998,4.3
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),1997,4.5
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),1996,4.7
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),1995,4.5
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),1994,4.3
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),1993,4.2
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),1992,4.7
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),1991,5
United Kingdom of Great Britain and Northern Ireland,Alcohol-related road traffic crashes (% of all traffic crashes),1990,5.2
United States of America,Alcohol-related road traffic crashes (% of all traffic crashes),2013,31
United States of America,Alcohol-related road traffic crashes (% of all traffic crashes),2012,31.8
United States of America,Alcohol-related road traffic crashes (% of all traffic crashes),2008,11.2
Venezuela (Bolivarian Republic of),Alcohol-related road traffic crashes (% of all traffic crashes),2007,7.5
Venezuela (Bolivarian Republic of),Alcohol-related road traffic crashes (% of all traffic crashes),2006,4.6
Venezuela (Bolivarian Republic of),Alcohol-related road traffic crashes (% of all traffic crashes),2005,5.1
Venezuela (Bolivarian Republic of),Alcohol-related road traffic crashes (% of all traffic crashes),2004,7.4
Venezuela (Bolivarian Republic of),Alcohol-related road traffic crashes (% of all traffic crashes),2003,5.6
Venezuela (Bolivarian Republic of),Alcohol-related road traffic crashes (% of all traffic crashes),2002,4.3
Venezuela (Bolivarian Republic of),Alcohol-related road traffic crashes (% of all traffic crashes),2001,4.3
Venezuela (Bolivarian Republic of),Alcohol-related road traffic crashes (% of all traffic crashes),2000,4.5
Venezuela (Bolivarian Republic of),Alcohol-related road traffic crashes (% of all traffic crashes),1999,4.7
Venezuela (Bolivarian Republic of),Alcohol-related road traffic crashes (% of all traffic crashes),1998,4.7
Venezuela (Bolivarian Republic of),Alcohol-related road traffic crashes (% of all traffic crashes),1997,4.7
Venezuela (Bolivarian Republic of),Alcohol-related road traffic crashes (% of all traffic crashes),1996,4.7
